;Locatie;Verpakkingsmateriaal;Zoet/hartig;Aangebroken;;
Spa rood;Deur;Plastic;Neutraal;Aangebroken;;
Cola;Deur;Plastic;Zoet;Aangebroken;;
Gingerbeer;Deur;Plastic;Zoet;Aangebroken;;
Melk;Deur;Plastic;Hartig;Aangebroken;;
Pesto;Deur;Glas;Hartig;Aangebroken;;
Kokosolie;Deur;Glas;Neutraal;Aangebroken;;
Sambal;Deur;Glas;Hartig;Aangebroken;;
Boter 1;Deur;Papier;Hartig;Aangebroken;;
Boter 2;Deur;Papier;Hartig;Aangebroken;;
Boter 3;Deur;Papier;Hartig;Aangebroken;;
Blauwe kaas;Deur;Plastic;Hartig;Aangebroken;;
PizzaQuick;Deur;Glas;Hartig;Aangebroken;;
Salami;1e rij;Plastic;Hartig;Aangebroken;;
Castlerib;1e rij;Plastic;Hartig;Aangebroken;;
Kaas;1e rij;Plastic;Hartig;Aangebroken;;
Kaas;1e rij;Plastic;Hartig;Nieuw;;
Smeerkaas;1e rij;Plastic;Hartig;Nieuw;;
Smeerkaas;1e rij;Plastic;Hartig;Aangebroken;;
Aoli;1e rij;Plastic;Hartig;Nieuw;;
Water;1e rij;Plastic;Neutraal;Nieuw;;
F mosterd;1e rij;Glas;Hartig;Aangebroken;;
H mosterd;1e rij;Glas;Hartig;Aangebroken;;
F mosterd;1e rij;Glas;Hartig;Aangebroken;;
D mosterd;1e rij;Plastic;Hartig;Aangebroken;;
Saus 1 Shaslik;2de rij;Glas;Hartig;Aangebroken;;
Saus 2 Steak;2de rij;Glas;Hartig;Aangebroken;;
Saus 3 Samba;2de rij;Glas;Hartig;Aangebroken;;
Saus 4 bbq;2de rij;Glas;Hartig;Aangebroken;;
Picallily;2de rij;Glas;Hartig;Aangebroken;;
Picallily;2de rij;Glas;Hartig;Nieuw;;
Knoflook;2de rij;Plastic;Hartig;Aangebroken;;
Kebab saus;2de rij;Plastic;Hartig;Aangebroken;;
Appelmoes;2de rij;Glas;Zoet;Aangebroken;;
Jam;2de rij;Glas;Zoet;Aangebroken;;
Augurken;2de rij;Glas;Hartig;Aangebroken;;
Ricotta;2de rij;Plastic;Hartig;Nieuw;;
Franse Mayo;2de rij;Glas;Hartig;Aangebroken;;
Ham;3de rij;Plastic;Hartig;Aangebroken;;
Kaas Emm;3de rij;Plastic;Hartig;Aangebroken;;
Kaas Emm;3de rij;Plastic;Hartig;Nieuw;;
Appelsap;3de rij;Plastic;Zoet;Aangebroken;;
Kruidenboter;3de rij;Plastic;Hartig;Aangebroken;;
Aoli;3de rij;Plastic;Hartig;Aangebroken;;
Jam;3de rij;Glas;Zoet;Aangebroken;;
Pepers;3de rij;Glas;Hartig;Aangebroken;;
Brie;3de rij;Papier;Hartig;Aangebroken;;
Yoghurt;4de rij;Plastic;Hartig;Aangebroken;;
Blauwe kaas;4de rij;Plastic;Hartig;Aangebroken;;
Mayo;4de rij;Plastic;Hartig;Aangebroken;;
Knoflooksaus;4de rij;Glas;Hartig;Aangebroken;;
Wortels;Groentela;Plastic;Hartig;Aangebroken;;
Paprika;Groentela;Plastic;Hartig;Aangebroken;;
Spinazi;Groentela;Plastic;Hartig;Nieuw;;
Broccoli;Groentela;Plastic;Hartig;Nieuw;;
Broccoli;Groentela;Plastic;Hartig;Nieuw;;
